pos_A,ratio_peak_speed,pos_D,formation_offensiveness,is_home_int,subbed_int,ratio_shots_top_third,jersey_number,minute_in,ratio_distance,cumul_mean_max_speed
0,2.918592964824121,0,17,0,0,0.0,10,1,1.288949647946962,6.991
0,2.7582938388625595,0,17,0,1,0.0,19,1,0.8323644334318117,6.72
0,3.0,0,17,0,0,0.0,20,1,1.3096046780349453,6.751
0,3.035555555555556,1,19,1,0,0.0,2,1,1.0462577831556128,6.614
0,3.2111251580278126,1,19,1,0,0.0,3,1,0.8827751196172249,6.481
0,3.9518716577540105,1,19,1,0,0.0,4,1,1.2995293110825843,6.283
0,3.9546599496221657,0,19,1,0,4.0,6,1,1.3102655083812556,6.558
0,3.75,0,19,1,0,0.0,7,1,1.140955221708923,6.842
0,3.4327272727272726,0,19,1,0,0.0,8,1,1.0175091417509143,6.526
1,3.875935828877006,0,19,1,1,0.0,11,1,1.3544155457995908,7.277
0,1.0,1,19,1,0,0.0,13,46,1.0,6.965
1,3.820372398685652,0,19,1,1,0.0,17,1,1.044566552459758,6.841
1,3.5418875927889717,0,19,1,1,0.0,21,1,1.4380937385188683,6.892
0,4.0,1,17,0,0,4.0,2,1,0.8704929454798817,6.926
0,3.767653758542141,1,17,0,0,0.0,3,1,1.3900662031338369,6.945
0,3.88683351468988,1,17,0,0,4.0,4,1,0.9970089012216656,6.878
0,3.5823899371069183,1,17,0,0,4.0,5,1,1.0163433677329108,6.511
